微信消息记录     导出时间:2017-01-08 15:20:13
－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－
ID                            时间                     联系人                   状态                类型                消息
2215573545@chatroom           2016-12-25 20:38:34      我                       发送                文本                打卡记录我晚点发给宝宝们啦……手机耍脾气总是导出失败[捂脸]
2215573545@chatroom           2016-12-25 20:40:01      220adang                 接收                文本                【打卡】橄榄球训练120min
2215573545@chatroom           2016-12-25 20:40:18      220adang                 接收                照片壁纸            [照片壁纸]
2215573545@chatroom           2016-12-25 20:41:00      111daya                  接收                文本                @BadGirl 大王别着急
2215573545@chatroom           2016-12-25 20:55:10      245-霍志斌               接收                文本                @BadGirl 理解！
2215573545@chatroom           2016-12-25 20:55:34      245-霍志斌               接收                文本                @BadGirl 不着急，不行明天
2215573545@chatroom           2016-12-25 20:57:10      我                       发送                文本                我知道为啥了，手机低电量模式不会自动切换到正常模式，总是锁屏然后导不出
2215573545@chatroom           2016-12-25 20:57:23      我                       发送                文本                等会儿就没问题了
2215573545@chatroom           2016-12-25 20:57:31      245-霍志斌               接收                文本                [呲牙]
2215573545@chatroom           2016-12-25 20:58:11      111daya                  接收                文本                IT人就是厉害
2215573545@chatroom           2016-12-25 20:58:18      111daya                  接收                文本                说得好专业
2215573545@chatroom           2016-12-25 20:58:50      我                       发送                文本                [捂脸]
2215573545@chatroom           2016-12-25 21:01:57      194-JH2016JC             接收                文本                【打卡】游泳一千米
2215573545@chatroom           2016-12-25 21:02:50      194-JH2016JC             接收                文本                @阿当 右三最帅
2215573545@chatroom           2016-12-25 21:03:22      220adang                 接收                文本                @浙江～翔妈 
2215573545@chatroom           2016-12-25 21:03:26      220adang                 接收                动画表情            [动画表情]
2215573545@chatroom           2016-12-25 21:03:34      194-JH2016JC             接收                文本                只有一只鞋子[捂脸]
2215573545@chatroom           2016-12-25 21:03:57      220adang                 接收                文本                脚磨破水泡了
2215573545@chatroom           2016-12-25 21:04:54      194-JH2016JC             接收                文本                都是鞋子的错
2215573545@chatroom           2016-12-25 21:05:49      220adang                 接收                文本                周四晚上体能训练折返跑跑多了 就起个大水泡 今天再运动就破了
2215573545@chatroom           2016-12-25 21:28:51      194-JH2016JC             接收                文本                @阿当 好拼嘛
2215573545@chatroom           2016-12-25 22:04:27      <?xml version="1.0"?>    接收                视频                [视频]
